Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Overall,PROMISE,DNN,Word2Vec,0.6185567010309279,0.6237113402061856,0.6494845360824743,0.6907216494845361,0.6373056994818653,0.6439559852571978
Stage 1,PROMISE,GRU,Word2Vec,0.8298969072164949,0.8350515463917526,0.8814432989690721,0.8865979381443299,0.8290155440414507,0.85240104695262
Stage 2,PROMISE,GRU,Word2Vec,0.5333333333333333,0.4811320754716981,0.580952380952381,0.5714285714285714,0.5576923076923077,0.5449077337756583
Overall,PROMISE,GRU,Word2Vec,0.6134020618556701,0.6082474226804123,0.6804123711340206,0.6804123711340206,0.6321243523316062,0.642919715827146
Stage 1,PROMISE,LSTM,Word2Vec,0.8350515463917526,0.845360824742268,0.8608247422680413,0.865979381443299,0.8134715025906736,0.8441375994872068
Stage 2,PROMISE,LSTM,Word2Vec,0.5238095238095238,0.49056603773584906,0.5904761904761905,0.5904761904761905,0.5192307692307693,0.5429117423457046
Overall,PROMISE,LSTM,Word2Vec,0.6185567010309279,0.6134020618556701,0.654639175257732,0.6701030927835051,0.6062176165803109,0.6325837295016291
Stage 1,FNFC,BiCNN,TF-IDF,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,BiCNN,TF-IDF,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,BiCNN,TF-IDF,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,BiLSTM,TF-IDF,0.8739376770538244,0.8845609065155807,0.8604815864022662,0.8845609065155807,0.8788951841359773,0.876487252124646
Stage 2,FNFC,BiLSTM,TF-IDF,0.7621359223300971,0.6941747572815534,0.7330097087378641,0.7815533980582524,0.7038834951456311,0.7349514563106796
Overall,FNFC,BiLSTM,TF-IDF,0.8576487252124646,0.8696883852691218,0.8470254957507082,0.8682719546742209,0.8611898016997167,0.8607648725212463
Stage 1,FNFC,CNN,TF-IDF,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,CNN,TF-IDF,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,CNN,TF-IDF,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,DNN,TF-IDF,0.8831444759206799,0.8909348441926346,0.8696883852691218,0.8888101983002833,0.8888101983002833,0.8842776203966005
Stage 2,FNFC,DNN,TF-IDF,0.6650485436893204,0.5776699029126213,0.6456310679611651,0.6796116504854369,0.6747572815533981,0.6485436893203883
